plume_id_src,obs_datetime_utc,provider,emission_tph,emission_unc_tph,cluster_id,latitude,longitude
4205d7cbe35f40548a8ca8ed73471fd0,2024-06-09 04:30:59+00:00,SRON,34.0,13.0,2,-21.77,148.35
c005da2652ae45ef121cd1a757243914,2024-06-10 04:11:18+00:00,SRON,43.0,21.0,-1,-25.42,148.74
cfab6057e2a5d5fc62fb4a12a3dd253e,2024-06-12 05:14:21+00:00,SRON,63.0,25.0,-1,-23.15,149.45
d5a1500232281d9c7b0c94e4efdbdba0,2024-06-13 04:55:32+00:00,SRON,10.0,11.0,1,-23.36,148.94
4d386b637877dca6b06dda3a957b8a13,2024-06-13 04:56:06+00:00,SRON,10.0,7.0,2,-21.33,147.97
727bc27f7304c4e33ac4f879370f9f5a,2024-06-14 00:00:00+00:00,KAYRROS,22.27,10.02,2,-21.9278,148.2042
833e5256b88972faba9e6dd2ca1deba0,2024-06-14 04:36:56+00:00,SRON,6.0,2.0,1,-22.99,148.53
ab26f6e513f7712026c3a7642fd53a3d,2024-06-14 04:37:16+00:00,SRON,13.0,7.0,2,-21.45,148.27
7c95f0b5d82c81f3901a878e90e421b6,2024-06-18 05:01:54+00:00,SRON,16.0,8.0,1,-23.12,149.04
ae5e77b69e491376b36407dc72235207,2024-06-18 05:02:10+00:00,SRON,30.0,10.0,2,-21.7,148.31
fa91ab6abddf7ad8066c0bbe1d03f1dc,2024-06-19 04:42:07+00:00,SRON,16.0,11.0,-1,-26.56,150.85
f5d26010c1cb432e01b1dfd8eb18d01f,2024-06-19 04:42:28+00:00,SRON,9.0,7.0,-1,-25.82,148.91
1c1bdb102b282fa7cc064b8b10ccc7c2,2024-06-19 04:43:10+00:00,SRON,8.0,4.0,1,-23.28,148.84
0fabd532372bddc7097137273fc243ce,2024-06-19 04:43:16+00:00,SRON,10.0,4.0,1,-22.79,148.72
782b3a5fb2e2d01a3951a244a19c5d04,2024-06-19 04:43:34+00:00,SRON,13.0,6.0,2,-21.95,148.53
a1ee090f7ef352a99813383b5bd5fb3a,2024-06-19 04:43:39+00:00,SRON,14.0,5.0,2,-21.48,148.34
d6199212efd543d070392170d450d8ad,2024-06-20 04:24:58+00:00,SRON,28.0,9.0,2,-21.88,148.13
